Manager,Seasons,G,Team,Wins,Losses
Scott Servais,2016–,"1,194",SEA,,
Lloyd McClendon,2014–2015,324,SEA,,
Eric Wedge,2011–2013,486,SEA,,
Daren Brown,2010,50,SEA,,
Don Wakamatsu,2009–2010,274,SEA,,
Jim Riggleman,2008,90,SEA,,
John McLaren,2007–2008,156,SEA,,
Mike Hargrove,2005–2007,402,SEA,,
Bob Melvin,2003–2004,324,SEA,,
Lou Piniella,1993–2002,"1,551",SEA,,
Mark Kotsay,2022– Present,324,OAK,,
Bob Melvin,2011–2021,"1,680",OAK,,
Bob Geren,2007–2011,710,OAK,,
Ken Macha,2003–2006,648,OAK,,
Art Howe,1996–2002,"1,133",OAK,,
Bruce Bochy,2023–present,162,TEX,,
Tony Beasley,2022,48,TEX,,
Chris Woodward,2019–2022,498,TEX,,
Don Wakamatsu,2018,10,TEX,,
Jeff Banister,2015–2018,638,TEX,,
Tim Bogar,2014,22,TEX,,
Ron Washington,2007–2014,"1,275",TEX,,
Buck Showalter,2003–2006,648,TEX,,
Jerry Narron,2001–2002,296,TEX,,
Johnny Oates,1995–2001,982,TEX,,
Joe Espada,2024–present,0,HOU,,
Dusty Baker,2020–2023,546,HOU,,
A. J. Hinch,2015–2019,810,HOU,,
Tom Lawless**,2014,24,HOU,,
Bo Porter*,2013–2014,300,HOU,,
Tony DeFrancesco**,2012,41,HOU,,
Brad Mills*,2010–2012,445,HOU,,
Dave Clark**,2009,13,HOU,,
Cecil Cooper*,2007–2009,341,HOU,,
Phil Garner,2004–2007,529,HOU,,
Jimy Williams,2002–2004,412,HOU,,
Ron Washington,2024–present,0,LAA,,
Phil Nevin,2022–2023,268,LAA,,
Joe Maddon,2020–2022,278,LAA,,
Brad Ausmus,2019,162,LAA,,
Mike Scioscia,2000–2018,"3,078",LAA,,
Stephen Vogt,2024–present,0,CLE,,
Terry Francona,2013–2023,1678,CLE,921,757
Sandy Alomar Jr.,2012,6,CLE,3,3
Manny Acta,2010–2012,480,CLE,214,266
Eric Wedge,2003–2009,1134,CLE,561,573
Joel Skinner,2002,76,CLE,35,41
Charlie Manuel,2000–2002,410,CLE,220,190
Pedro Grifol,2023–present,162,CHW,,
Tony La Russa†,2021–2022,324,CHW,,
Rick Renteria,2017–2020,545,CHW,,
Robin Ventura,2012–2016,810,CHW,,
Don Cooper,2011,2,CHW,,
Ozzie Guillén,2004–2011,"1,295",CHW,,
Jerry Manuel,1998–2003,971,CHW,,
Matt Quatraro,2023–Present,162,KCN,56,106
Mike Matheny,2020–2022,384,KCN,165,219
Ned Yost,2010–2019,1423,KCN,687,736
Trey Hillman,2008–2010,359,KCN,152,207
Buddy Bell,2005–2007,436,KCN,174,262
Bob Schaefer,2005,17,KCN,5,12
Tony Peña,2002–2005,483,KCN,198,285
John Mizerock,2002,13,KCN,5,8
Tony Muser,1997–2002,748,KCN,317,431
A. J. Hinch,2021–present,454,DET,202,252
Lloyd McClendon**,2020,8,DET,2,6
Ron Gardenhire,2018–2020,373,DET,132,241
Brad Ausmus,2014–2017,646,DET,314,332
Jim Leyland,2006–2013,1297,DET,700,597
Alan Trammell*,2003–2005,486,DET,186,300
Luis Pujols**,2002,155,DET,55,100
Phil Garner,2000–2002,330,DET,145,185
Rocco Baldelli,2019–present,708,MIN,375,333
Paul Molitor†,2015–2018,648,MIN,305,343
Ron Gardenhire[c],2002–2014,2107,MIN,1068,1039
Tom Kelly§[b],1986–2001,2384,MIN,1140,1244
Aaron Boone,2018–present,870,NYY,,
Joe Girardi,2008–2017,"1,620",NYY,,
Joe Torre[e]†,1996–2007,"1,942",NYY,,
Alex Cora,2021–present,486,BOS,,
Ron Roenicke,2020,60,BOS,,
Alex Cora,2018–2019,324,BOS,,
John Farrell,2013–2017,810,BOS,,
Bobby Valentine,2012,162,BOS,,
Terry Francona,2004–2011,"1,296",BOS,,
Grady Little,2002–2003,324,BOS,,
Joe Kerrigan,2001,43,BOS,,
Jimy Williams,1997–2001,766,BOS,,
John Schneider,2022–present,236,TOR,,
Charlie Montoyo,2019–2022,472,TOR,,
John Gibbons,2013–2018,972,TOR,,
John Farrell,2011–2012,324,TOR,,
Cito Gaston,2008–2010,412,TOR,,
John Gibbons,2004–2008,610,TOR,,
Carlos Tosca,2002–2004,382,TOR,,
Buck Martinez,2001–2002,215,TOR,,
Jim Fregosi,1999–2000,324,TOR,,
Brandon Hyde,2019–present,708,BAL,315,393
Buck Showalter,2010–2018,1353,BAL,669,684
Juan Samuel,2010,51,BAL,17,34
Dave Trembley,2007–2010,470,BAL,187,283
Sam Perlozzo,2005–2007,286,BAL,122,164
Lee Mazzilli,2004–2005,269,BAL,129,140
Mike Hargrove,2000–2003,647,BAL,275,372
Kevin Cash*,2015–present,"1,356",TAM,,
Joe Maddon,2006–2014,"1,459",TAM,,
Lou Piniella,2003–2005,485,TAM,,
Hal McRae,2001–2002,309,TAM,,
Larry Rothschild*,1998–2001,499,TAM,,
Bob Melvin,2024–present,0,SFN,,
Kai Correa (interim),2023,3,SFN,,
Gabe Kapler,2020–2023,543,SFN,,
