,DATE,TEAM,REASON,YEAR
0,05/20/2008,NYA,Throwing at batter,2008
1,06/13/2008,SLN,Intentional HBP,2008
2,07/19/2008,TOR,Intentional HBP,2008
3,07/29/2008,BAL,Intentional HBP,2008
4,07/30/2008,NYA,Throwing at batter,2008
5,07/31/2008,MIL,Throwing at batter,2008
6,08/03/2008,CHA,Intentional HBP,2008
7,08/03/2008,KCA,Intentional HBP,2008
8,08/13/2008,ATL,Throwing at batter,2008
9,05/16/2009,ANA,Intentional HBP,2009
10,07/25/2009,CLE,Intentional HBP,2009
11,07/26/2009,FLO,Intentional HBP,2009
12,08/04/2009,LAN,Intentional HBP,2009
13,08/08/2009,BOS,Intentional HBP,2009
14,08/09/2009,PIT,Intentional HBP,2009
15,10/01/2009,DET,Intentional HBP,2009
16,06/05/2010,WAS,Intentional HBP,2010
17,07/17/2010,ATL,Intentional HBP,2010
18,07/20/2010,LAN,Automatic ejection for HBP after warning,2010
19,08/03/2010,CLE,Throwing at batter,2010
20,08/04/2010,MIL,Intentional HBP,2010
21,08/28/2010,LAN,Intentional HBP,2010
22,09/01/2010,FLO,Intentionally throwing at batter,2010
23,09/01/2010,WAS,Intentional HBP,2010
24,09/26/2010,BAL,Intentional HBP,2010
25,04/10/2011,FLO,Intentional HBP,2011
26,04/10/2011,HOU,Intentional HBP,2011
27,05/18/2011,BAL,Intentional HBP,2011
28,06/05/2011,WAS,Intentional HBP,2011
29,06/05/2011,ARI,Intentional HBP,2011
30,06/11/2011,CLE,Intentional HBP,2011
31,07/10/2011,BOS,Automatic ejection on HBP after warning,2011
32,07/10/2011,BAL,Automatic ejection for throwing at batter after warning,2011
33,07/29/2011,CLE,Throwing at batter,2011
34,07/31/2011,ANA,Automatic ejection for throwing at batter after warning,2011
35,08/05/2011,SFN,Intentional HBP,2011
36,08/12/2011,CHN,Throwing at batter,2011
37,09/14/2011,LAN,Intentional HBP,2011
38,04/14/2012,CLE,Intentional HBP,2012
39,05/15/2012,NYN,Intentional HBP,2012
40,05/20/2012,MIL,Throwing at batter,2012
41,05/26/2012,TOR,Throwing at batter,2012
42,05/30/2012,CHA,Throwing at batter,2012
43,07/25/2012,KCA,Intentional HBP,2012
44,08/23/2012,MIN,Throwing at batter,2012
45,09/18/2012,OAK,Intentional HBP,2012
46,04/09/2013,CLE,Intentional HBP,2013
47,04/26/2013,PIT,Intentional HBP,2013
48,06/01/2013,BAL,Intentional HBP,2013
49,06/11/2013,ARI,Intentional HBP,2013
50,06/11/2013,SFN,Intentional HBP,2013
51,07/11/2013,DET,Throwing at batter,2013
52,08/17/2013,WAS,Throwing at batter,2013
53,09/06/2013,SLN,Intentional HBP,2013
54,04/18/2014,NYA,Intentional HBP,2014
55,04/24/2014,HOU,Intentional HBP,2014
56,05/12/2014,BAL,Intentional HBP,2014
57,05/30/2014,BOS,Throwing at batter,2014
58,06/08/2014,OAK,Fighting (Threw at batter),2014
59,06/12/2014,ATL,Intentional HBP,2014
60,06/12/2014,COL,Intentional HBP,2014
61,06/13/2014,PHI,Intentional HBP,2014
62,06/17/2014,ARI,Intentional HBP,2014
63,07/22/2014,PIT,Intentional HBP,2014
64,08/02/2014,ARI,Intentional HBP,2014
65,09/11/2014,MIA,Intentional HBP,2014
66,09/11/2014,NYN,Intentional HBP,2014
67,09/16/2014,NYA,Throwing at batter,2014
68,09/20/2014,MIL,Intentional HBP,2014
69,04/17/2015,BAL,Intentional HBP,2015
70,04/18/2015,KCA,Intentional HBP,2015
71,04/19/2015,KCA,Throwing at batter,2015
72,06/16/2015,PHI,Throwing at batter,2015
73,06/19/2015,TOR,Intentional HBP,2015
74,06/27/2015,HOU,Throwing at batter,2015
75,07/22/2015,ARI,Intentional HBP,2015
76,08/02/2015,PIT,Intentional HBP,2015
77,08/02/2015,TOR,Intentional HBP,2015
78,08/24/2015,MIA,Intentional HBP,2015
79,09/16/2015,ANA,Intentional HBP,2015
80,09/18/2015,SLN,Intentional HBP,2015
81,09/19/2015,CHN,Intentional HBP,2015
82,09/23/2015,BOS,Throwing at batter,2015
83,09/23/2015,WAS,Intentional HBP,2015
84,09/30/2015,NYN,Throwing at batter,2015
85,04/05/2016,TEX,Intentional HBP,2016
86,05/11/2016,CIN,Intentional HBP,2016
87,05/15/2016,TOR,Intentional HBP,2016
88,05/24/2016,PIT,Intentional HBP,2016
89,05/28/2016,CIN,Intentional HBP,2016
90,05/28/2016,NYN,Throwing at batter,2016
91,08/13/2016,COL,Intentional HBP,2016
92,08/31/2016,SEA,Intentional HBP,2016
93,09/14/2016,ATL,Throwing at batter,2016
94,09/20/2016,ANA,Automatic ejection on HBP after warning,2016
95,09/25/2016,WAS,Throwing at batter,2016
96,09/26/2016,NYA,Intentional HBP,2016
97,04/22/2017,DET,Throwing behind batter,2017
98,04/23/2017,BOS,Throwing behind batter,2017
99,05/03/2017,BAL,Intentional HBP,2017
100,05/19/2017,LAN,Throwing at batter,2017
101,05/20/2017,TBA,Intentional HBP,2017
102,07/26/2017,DET,Intentionally hitting batter,2017
103,08/24/2017,NYA,Throwing behind batter,2017
104,09/16/2017,SDN,Intentional HBP,2017
105,08/15/2018,MIA,Intentional HBP,2018
106,09/02/2018,MIN,Intentional HBP,2018
107,03/31/2019,ATL,Intentional HBP,2019
108,05/03/2019,ATL,Throwing at batter,2019
109,05/29/2019,KCA,Intentional HBP,2019
110,07/15/2019,PHI,Intentional HBP,2019
111,07/16/2019,PHI,Intentional HBP,2019
112,07/27/2019,TEX,Intentional HBP,2019
113,07/30/2019,CIN,Intentional HBP,2019
114,09/14/2019,CHN,Automatic ejection for HBP after warning,2019
115,09/02/2020,NYA,Intentionally hitting batter,2020
116,09/25/2020,CHA,Intentional HBP,2020
117,05/18/2021,MIN,Throwing at batter,2021
118,04/08/2022,WAS,Intentionally hitting batter,2022
119,04/09/2022,CHN,Intentionally hitting batter,2022
120,05/10/2022,TOR,Intentionally hitting batter,2022
121,06/06/2022,HOU,Intentionally throwing at batter,2022
