Name,Seasons,Games,Team,Wiki_Names,Birth_Year
Scott Servais,2016–,1194,SEA,Scott Servais,1967
Lloyd McClendon,2014–2015,324,SEA,Lloyd McClendon,1959
Eric Wedge,2011–2013,486,SEA,Eric Wedge,1968
Daren Brown,2010,50,SEA,Daren Brown,1967
Don Wakamatsu,2009–2010,274,SEA,Don Wakamatsu,1963
Jim Riggleman,2008,90,SEA,Jim Riggleman,1952
John McLaren,2007–2008,156,SEA,John McLaren (baseball),1951
Mike Hargrove,2005–2007,402,SEA,Mike Hargrove,1949
Bob Melvin,2003–2004,324,SEA,Bob Melvin,1961
Lou Piniella,1993–2002,1551,SEA,Lou Piniella,1943
Mark Kotsay,2022– Present,324,OAK,Mark Kotsay,1975
Bob Melvin,2011–2021,1680,OAK,Bob Melvin,1961
Bob Geren,2007–2011,710,OAK,Bob Geren,1961
Ken Macha,2003–2006,648,OAK,Ken Macha,1950
Art Howe,1996–2002,1133,OAK,Art Howe,1946
Bruce Bochy,2023–present,162,TEX,Bruce Bochy,1955
Tony Beasley,2022,48,TEX,Tony Beasley,1966
Chris Woodward,2019–2022,498,TEX,Chris Woodward,1976
Don Wakamatsu,2018,10,TEX,Don Wakamatsu,1963
Jeff Banister,2015–2018,638,TEX,Jeff Banister,1965
Tim Bogar,2014,22,TEX,Tim Bogar,1966
Ron Washington,2007–2014,1275,TEX,Ron Washington,1952
Buck Showalter,2003–2006,648,TEX,Buck Showalter,1956
Jerry Narron,2001–2002,296,TEX,Jerry Narron,1956
Johnny Oates,1995–2001,982,TEX,Johnny Oates,1946
Joe Espada,2024–present,0,HOU,Joe Espada,1975
Dusty Baker,2020–2023,546,HOU,Dusty Baker,1949
A. J. Hinch,2015–2019,810,HOU,A. J. Hinch,1974
Tom Lawless,2014,24,HOU,Tom Lawless,1956
Bo Porter,2013–2014,300,HOU,Bo Porter,1972
Tony DeFrancesco,2012,41,HOU,Tony DeFrancesco,1963
Brad Mills,2010–2012,445,HOU,Brad Mills (manager),1957
Dave Clark,2009,13,HOU,Dave Clark (baseball),1962
Cecil Cooper,2007–2009,341,HOU,Cecil Cooper,1949
Phil Garner,2004–2007,529,HOU,Phil Garner,1949
Jimy Williams,2002–2004,412,HOU,Jimy Williams,1943
Ron Washington,2024–present,0,LAA,Ron Washington,1952
Phil Nevin,2022–2023,268,LAA,Phil Nevin,1971
Joe Maddon,2020–2022,278,LAA,Joe Maddon,1954
Brad Ausmus,2019,162,LAA,Brad Ausmus,1969
Mike Scioscia,2000–2018,3078,LAA,Mike Scioscia,1958
Stephen Vogt,2024–present,0,CLE,Stephen Vogt,1984
Terry Francona,2013–2023,1678,CLE,Terry Francona,1959
Sandy Alomar Jr.,2012,6,CLE,Sandy Alomar Jr.,1966
Manny Acta,2010–2012,480,CLE,Manny Acta,1969
Eric Wedge,2003–2009,1134,CLE,Eric Wedge,1968
Joel Skinner,2002,76,CLE,Joel Skinner,1961
Charlie Manuel,2000–2002,410,CLE,Charlie Manuel,1944
Pedro Grifol,2023–present,162,CHW,Pedro Grifol,1969
Tony La Russa,2021–2022,324,CHW,Tony La Russa,1944
Rick Renteria,2017–2020,545,CHW,Rick Renteria,1961
Robin Ventura,2012–2016,810,CHW,Robin Ventura,1967
Don Cooper,2011,2,CHW,Don Cooper,1957
Ozzie Guillén,2004–2011,1295,CHW,Ozzie Guillén,1964
Jerry Manuel,1998–2003,971,CHW,Jerry Manuel,1953
Matt Quatraro,2023–Present,162,KCN,Matt Quatraro,1973
Mike Matheny,2020–2022,384,KCN,Mike Matheny,1970
Ned Yost,2010–2019,1423,KCN,Ned Yost,1954
Trey Hillman,2008–2010,359,KCN,Trey Hillman,1963
Buddy Bell,2005–2007,436,KCN,Buddy Bell,1951
Bob Schaefer,2005,17,KCN,Bob Schaefer,1944
Tony Peña,2002–2005,483,KCN,Tony Peña,1957
John Mizerock,2002,13,KCN,John Mizerock,1960
Tony Muser,1997–2002,748,KCN,Tony Muser,1947
A. J. Hinch,2021–present,454,DET,A. J. Hinch,1974
Lloyd McClendon,2020,8,DET,Lloyd McClendon,1959
Ron Gardenhire,2018–2020,373,DET,Ron Gardenhire,1957
